 (Half Day),（半天）
 Additional Salary,额外薪水
 Advanced Settings,高级设置
 by Role ,按角色
 Currently no stock available in any warehouse,当前无库存
 for {0},{0}
 From Date can not be greater than To Date,开始日期不能晚于结束日期
 Group Roll No,组卷号
 is mandatory. Maybe Currency Exchange record is not created for ,必填。也许外币汇率记录没有创建
 or ,或
 Purchase Value,采购金额
 See all past reports.,点这儿可以查看之前的历史报表。
 Shipping Bill Number,运费清单号码
 submittable documents cannot be changed. They can only be Cancelled and Amended.,一旦提交后，可提交单据就不能被变更，只能取消后，点修订按钮生成新版本后再修改
 Tax Exemption Declaration will be considered for income tax calculation.,如勾选，个税计算时将扣除申报的免税金额
 to ,至
 to your browser,到你的浏览器
" This report was generated a few seconds ago. To get the updated report, click on Rebuild. See all past reports.",此报表是若干分钟前生成的，如需获取最新数据，请点击重新生成按钮。点这儿可以查看之前的历史报表。
" {0} Retain Sample is based on batch, please check Has Batch No to retain sample of item",{0}留样基于批号，请检查物料基础资料是否设置 启用批号管理
"""Company History""",“公司历史”
"""Customer Provided Item"" cannot be Purchase Item also",“客供物料”不能设置为允许采购
"""Customer Provided Item"" cannot have Valuation Rate",“客供物料”不允许有成本价
"""From date"" can not be greater than or equal to ""To date""",开始日不能晚于或等于结束日
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",已有关联的固定资产记录，不能取消勾选允许资产
"""Parent"" signifies the parent table in which this row must be added",“parent”表示本条记录必须依赖添加的父表
"""Team Members"" or ""Management""",“团队成员”或“管理”
"# In Stock",有库存物料个数
"# Req'd Items",物料个数
"'Update Stock' can not be checked because items are not delivered via {0}",因为退货源单{0}未勾选“更新库存“，退货/退款单也不能勾选“更新库存“
"(A) Qty After Transaction",(A) 变更后数量
"(B) Expected Qty After Transaction",(B) 预期变更后数量
"(C) Total qty in queue",(C) 队列中总数量
"(D) Balance Stock Value",(D) 库存余额
"(E) Balance Stock Value in Queue",(E) 队列中库存余额
"(F) Stock Value Difference",(F) 库存差异
"(G) Stock Value difference (FIFO queue)",(G) 库存差异(先进先出队列)
"(H) Valuation Rate",(H) 成本价
"(I) Valuation Rate as per FIFO",(I) 先进先出成本价
"(J) Valuation = Value (D) ÷ Qty (A)",(J) 成本价 = 金额(D) ÷ 数量(A)
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">请不要直接更新这个表单里的内容，可能会导致系统瘫痪！请使用定制表单和自定义字段功能让系统自动产生此表单的数据!</div>"
"<h4>Default Template</h4><p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p><pre><code>{{ address_line1 }}&lt;br&gt;{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}{{ city }}&lt;br&gt;{% if state %}{{ state }}&lt;br&gt;{% endif -%}{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}{{ country }}&lt;br&gt;{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code></pre>","<H4>默认模板</ H4>  <p> 使用<a  Jinja href=""http://jinja.pocoo.org/docs/templates/"">模板</A>和地址的所有字段（包括自定义字段如果有的话）将可</ P>  <前> <代码> {{address_line1}}＆LT; BR＆GT;  {％，如果address_line2％} {{address_line2}}＆LT; BR＆GT; { ENDIF％ - ％}  {{城市}}＆LT; BR＆GT;  {％，如果状态％} {{状态}}＆LT; BR＆GT; {％ENDIF - ％} {％，如果PIN代码％} PIN：{{PIN码}}＆LT; BR＆GT; {％ENDIF - ％}  {{国家}}＆LT; BR＆GT;  {％，如果电话％}电话：{{电话}}＆LT; BR＆GT; { ％ENDIF - ％}  {％，如果传真％}传真：{{传真}}＆LT; BR＆GT; {％ENDIF - ％}  {％，如果email_id％}电子邮件：{{email_id}}＆LT; BR＆GT {％ENDIF - ％}  </代码> </ PRE>"
"A new task, {0}, has been assigned to you by {1}. {2}",一个新的任务，{0}，已分派给您{1}。 {2}
"A Product or a Service that is bought, sold or kept in stock.",可采购，销售或作为存货的产品或服务。
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",科目余额已设置为'贷方'，不能设置为'借方'
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'",科目余额已设置为'借方'，不能设置为'贷方'
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.",日记账凭证冻结截止至此日期，除了以下角色外，其它用户被禁止录入/修改。
"Accounts, Invoices, Taxation, and more.",科目，发票，税及更多
"Actions for workflow (e.g. Approve, Cancel).",工作流操作（例如审批，取消） 。
"Add the name of a ""Google Web Font"" e.g. ""Open Sans""",添加一个“谷歌网页字体”的名称，例如“打开三世”
"Add users to your organization, other than yourself.",将用户添加到您的组织，而不是您自己。
"Add your Employees so you can manage leaves, expenses and payroll",新增员工，所以你可以管理的休假，费用及工资
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",在&lt;head&gt;在头部分区已添加HTML网页，主要用于网站的验证和搜索引擎优化
"Adjustment for {} {}",调整 {} {}
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is ""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""",工作流所有状态与角色，单据状态0 表示"已保存"，1表示"已提交"，2表示"已取消"
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""",所有可能的工作流状态和工作流角色。 Docstatus选项：0是“已保存”，1“已提交”和2“取消”
"Allergies, Medical and Surgical History",过敏，医疗和手术史
"Allow multi-currency invoices against single party account ",允许同一往来单位发票多币种
"Allowing DocType, DocType. Be careful!",修改核心单据类型：DocType 。请格外小心！
